Param,Min,Max,Mean,Median,Mode
Malth,0.09614396265051725,0.1499424746117453,0.12772658233304554,0.12960739226914228,0.14052267846611904
A main,-0.015668992512168668,-0.002603832073735966,-0.007872708601688386,-0.0075255207830497994,-0.009399387201941342
A super/sub,-0.05915603077530134,-0.009456900824037946,-0.02782950055810066,-0.02639752653451497,-0.03572239348558236
Shallow
Sed 1,0.0009,0.0009,0.0009,0.0009,0.0009
Sed 1,0.0015,0.0015,0.0015,0.0015,0.0015
Sed 3,0.0016,0.0016,0.0016000000000000003,0.0016,0.0016
Sed 4,0.0017,0.0017,0.0017,0.0017,0.0017
Moderate-deep
Sed 1,0.0015,0.0015,0.0015,0.0015,0.0015
Sed 1,0.0017,0.0017,0.0017,0.0017,0.0017
Sed 3,0.0028,0.0028,0.0027999999999999995,0.0028,0.0028
Sed 4,0.0031,0.0031,0.0030999999999999995,0.0031,0.0031
Deep
Sed 1,0.0023,0.0023,0.0022999999999999995,0.0023,0.0023
Sed 1,0.0024,0.0024,0.0024,0.0024,0.0024
Sed 3,0.0027,0.0027,0.0027,0.0027,0.0027
Sed 4,0.0043,0.0043,0.0043,0.0043,0.0043
Shallow
Flow 1,0.055,0.055,0.055000000000000014,0.055,0.055
Flow 1,0.082,0.082,0.08200000000000002,0.082,0.082
Flow 3,0.259,0.259,0.2589999999999999,0.259,0.259
Flow 4,0.288,0.288,0.28799999999999987,0.288,0.288
Moderate-deep
Flow 1,0.008,0.008,0.008,0.008,0.008
Flow 1,0.051,0.051,0.05100000000000001,0.051,0.051
Flow 3,0.172,0.172,0.172,0.172,0.172
Flow 4,0.185,0.185,0.18500000000000003,0.185,0.185
Deep
Flow 1,0.0,0.0,0.0,0.0,0.0
Flow 1,0.0,0.0,0.0,0.0,0.0
Flow 3,0.058,0.058,0.058,0.058,0.058
Flow 4,0.066,0.066,0.06600000000000003,0.066,0.066
