Param,Min,Max,Mean,Median,Mode
Malth,0.10746811191894495,0.14999933150325404,0.1374897497314354,0.13956108642062184,0.13658195151652402
A main,-0.015394403488690405,-0.0017097540118385505,-0.007702202422906801,-0.0076320453393520366,-0.008451741132188724
A super/sub,-0.04883245869906477,-0.007678961501019799,-0.026818751114694284,-0.027086423243170184,-0.028569311093331013
Shallow
Sed 1,0.0009,0.0009,0.0008999999999999999,0.0009,0.0009
Sed 1,0.0015,0.0015,0.0015000000000000002,0.0015,0.0015
Sed 3,0.0015999999999999999,0.0016,0.0016000000000000005,0.0016,0.0016
Sed 4,0.0017,0.0017,0.0017,0.0017,0.0017
Moderate-deep
Sed 1,0.0015,0.0015,0.0015000000000000002,0.0015,0.0015
Sed 1,0.0017,0.0017,0.0017,0.0017,0.0017
Sed 3,0.0028,0.0027999999999999995,0.002799999999999999,0.0028,0.0028
Sed 4,0.0031000000000000003,0.0031,0.003099999999999999,0.0031,0.0031
Deep
Sed 1,0.0023,0.0023,0.0023,0.0023,0.0023
Sed 1,0.0024,0.0024,0.0024,0.0024,0.0024
Sed 3,0.0027,0.0027,0.0027000000000000006,0.0027,0.0027
Sed 4,0.0043,0.0043,0.004299999999999999,0.0043,0.0043
Shallow
Flow 1,0.055,0.05500000000000001,0.05500000000000002,0.055,0.055
Flow 1,0.082,0.082,0.082,0.082,0.082
Flow 3,0.259,0.259,0.25899999999999995,0.259,0.259
Flow 4,0.288,0.288,0.288,0.288,0.288
Moderate-deep
Flow 1,0.008,0.008,0.008000000000000004,0.008,0.008
Flow 1,0.051,0.051,0.05100000000000002,0.051,0.051
Flow 3,0.172,0.172,0.172,0.172,0.172
Flow 4,0.185,0.185,0.18500000000000003,0.185,0.185
Deep
Flow 1,0.0,0.0,0.0,0.0,0.0
Flow 1,0.0,0.0,0.0,0.0,0.0
Flow 3,0.058,0.058,0.05800000000000002,0.058,0.058
Flow 4,0.066,0.066,0.06600000000000003,0.066,0.066
